Factor de Impulso: -181.797 Factor de Latitud: 324910 Etiqueta: 0
Factor de Impulso: -1153.38 Factor de Latitud: 418053 Etiqueta: 0
Factor de Impulso: -401.395 Factor de Latitud: 373362 Etiqueta: 0
Factor de Impulso: -907.472 Factor de Latitud: 371191 Etiqueta: 0
Factor de Impulso: -996.131 Factor de Latitud: 373855 Etiqueta: 0
Factor de Impulso: -449.679 Factor de Latitud: 368755 Etiqueta: 0
Factor de Impulso: -657.63 Factor de Latitud: 383793 Etiqueta: 0
Factor de Impulso: -901.759 Factor de Latitud: 377816 Etiqueta: 0
Factor de Impulso: -735.394 Factor de Latitud: 358334 Etiqueta: 0
Factor de Impulso: -730.257 Factor de Latitud: 379397 Etiqueta: 0
Factor de Impulso: -1025.26 Factor de Latitud: 357184 Etiqueta: 1
Factor de Impulso: -102.756 Factor de Latitud: 267726 Etiqueta: 1
Factor de Impulso: -727.74 Factor de Latitud: 352681 Etiqueta: 1
Factor de Impulso: -404.085 Factor de Latitud: 237463 Etiqueta: 1
Factor de Impulso: -679.291 Factor de Latitud: 304460 Etiqueta: 1
Factor de Impulso: -956.704 Factor de Latitud: 353773 Etiqueta: 1
Factor de Impulso: -712.697 Factor de Latitud: 344381 Etiqueta: 1
Factor de Impulso: -1118.18 Factor de Latitud: 357496 Etiqueta: 1
Factor de Impulso: -663.588 Factor de Latitud: 366977 Etiqueta: 1
Factor de Impulso: -857.208 Factor de Latitud: 351822 Etiqueta: 1
